,STATION,BARANGAY,,,
1,PS1,BRGY13-B (POB),,,
2,PS1,BRGY 14-B (POB),,,
3,PS1,BRGY 15-B (POB),,,
4,PS1,BRGY 21-C,,,
5,PS1,BRGY 22-C,,,
6,PS1,BRGY 23-C,,,
7,PS1,BRGY 24-C,,,
8,PS1,BRGY 25-C,,,
9,PS1,BRGY 26-C (POB),,,
10,PS1,BRGY 27-C,,,
11,PS1,BRGY 28-C,,,
12,PS1,BRGY 29-C (POB),,,
13,PS1,BRGY 30-C,,,
14,PS1,BRGY 31-D,,,
15,PS1,BRGY 32-D,,,
16,PS1,BRGY CENTRO AGDAO/ SAN JUAN,,,
17,PS1,BRGY AGDAO PROPER,,,
18,PS1,LEON GARCIA,,,
19,PS1,BRGY LAPU-LAPU,,,
20,PS1,BRGY GOVERNOR VICENTE DUTERTE,,,
21,PS1,BRGY TOMAS MONTEVERDE,,,
22,PS2,BRGY 1-A,,,
23,PS2,BRGY 2-A,,,
24,PS2,BRGY 3-A (POB),,,
25,PS2,BRGY 4-A,,,
26,PS2,BRGY 5-A,,,
27,PS2,BRGY 6-A,,,
28,PS2,BRGY 7-A,,,
29,PS2,BRGY 8-A,,,
30,PS2,BRGY 9-A,,,
31,PS2,BRGY 10-A,,,
32,PS2,BRGY 11-B (POB),,,
33,PS2,BRGY 12-B,,,
34,PS2,BRGY 19-B,,,
35,PS2,BRGY 33-D,,,
36,PS2,BRGY 34-D,,,
37,PS2,BRGY 35-D,,,
38,PS2,BRGY 36-D,,,
39,PS2,BRGY 37-D,,,
40,PS2,BRGY 38-D,,,
41,PS2,BRGY 39-D,,,
42,PS2,BRGY 40-D,,,
43,PS3,CATALUNAN GRANDE,,,
44,PS3,MATINA PANGI,,,
45,PS3,TALOMO,,,
46,PS4,ANGLIONGTO,,,
47,PS4,PAMPANGA,,,
48,PS4,PANACAN,,,
49,PS4,SASA,,,
50,PS4,VICENTE HIZON SR,,,
51,PS5,BUHANGIN,,,
52,PS5,CABANTIAN,,,
53,PS5,COMMUNAL,,,
54,PS5,TIGATTO,,,
55,PS6,BUNAWAN,,,
56,PS6,GATUNGAN,,,
57,PS6,ILANG,,,
58,PS6,LASANG,,,
59,PS6,MAHAYAG,,,
60,PS6,MUDIANG,,,
61,PS6,SAN ISIDRO,,,
62,PS6,TIBUNGCO,,,
63,PS7,COLOSAS,,,
64,PS7,FATIMA (BENOWANG),,,
65,PS7,LUMIAD,,,
66,PS7,MABUHAY,,,
67,PS7,MALABOG,,,
68,PS7,MAPULA,,,
69,PS7,PARADISE EMBAK,,,
70,PS7,PANALUM,,,
71,PS7,PANDAITAN,,,
72,PS7,PAQUIBATO (POB),,,
73,PS7,SALAPAWAN,,,
74,PS7,SUMIMAO,,,
75,PS7,TAPAK,,,
76,PS8,ALAMBRE,,,
77,PS8,BANGKAS HEIGHTS,,,
78,PS8,BATO,,,
79,PS8,BINUGAO,,,
80,PS8,CAMANSI,,,
