gu,Date,offense,Count
SALOY,2020-01-01,VANDALISM,6
MARILOG,2020-01-01,THREATS,5
COMMUNAL,2020-01-01,HACKING,3
"CENTRO (SAN JUAN) (BRGY IS NOW UNDER PS 18, DCPO)",2020-01-01,VANDALISM,5
"TALANDANG (BRGY IS NOW UNDER PS 20, DCPO)",2020-01-01,ROBBERY,5
"BAGO APLAYA (BRGY IS NOW UNDER PS 17, DCPO)",2020-01-01,DISTURBANCE,2
MULIG,2020-01-01,IDENTITY THEFT,3
"BARANGAY 19-B (POB.) (BRGY UNDER ps 14, DCPO)",2020-01-01,PHYSICAL INJURY,6
"BAGO GALLERA (BRGY IS NOW UNDER PS 17, DCPO)",2020-01-01,DISTURBANCE,3
LAMANAN,2020-01-01,MURDER,5
VICENTE HIZON SR.,2020-01-01,ONLINE SCAM,1
PANALUM,2020-01-01,DRUNK DRIVING,4
SALAYSAY,2020-01-01,THREATS,4
PAMPANGA,2020-01-01,RAPE,7
"SAN ANTONIO (BRGY IS NOW UNDER PS 18, DCPO)",2020-01-01,ILLEGAL GAMBLING,3
LACSON,2020-01-01,CYBER LIBEL,2
"BALIOK (BRGY IS NOW UNDER PS 17, DCPO)",2020-01-01,HACKING,2
TACUNAN,2020-01-01,DISTURBANCE,7
"DUMOY (BRGY IS NOW UNDER PS 17, DCPO)",2020-01-01,PHYSICAL INJURY,7
ILANG,2020-01-01,IDENTITY THEFT,1
BUNAWAN (POB.),2020-01-01,ILLEGAL POSSESSION OF FIREARM,3
BARANGAY 17-B,2020-01-01,ONLINE SCAM,4
TIGATTO,2020-01-01,ROBBERY,2
SALUMAY,2020-01-01,ILLEGAL DRUGS,7
MARAPANGI,2020-01-01,DATA BREACH,2
CATALUNAN GRANDE,2020-01-01,IDENTITY THEFT,4
SUAWAN (TULI),2020-01-01,DISTURBANCE,3
LIZADA,2020-01-01,IDENTITY THEFT,2
DALIAO,2020-01-01,IDENTITY THEFT,3
"DUMOY (BRGY IS NOW UNDER PS 17, DCPO)",2020-01-01,VANDALISM,2
BARANGAY 26-C,2020-01-01,HACKING,3
"BAGO APLAYA (BRGY IS NOW UNDER PS 17, DCPO)",2020-01-01,ILLEGAL DRUGS,5
"LOS AMIGOS (BRGY IS NOW UNDER PS 20, DCPO)",2020-01-01,RAPE,6
TAMBOBONG,2020-01-01,CYBER LIBEL,4
"ANGALAN (BRGY IS NOW UNDER PS 20, DCPO)",2020-01-01,CYBER LIBEL,3
"TALANDANG (BRGY IS NOW UNDER PS 20, DCPO)",2020-01-01,MURDER,4
SUAWAN (TULI),2020-01-01,IDENTITY THEFT,2
BARANGAY 38-D (OB.),2020-01-01,PHYSICAL INJURY,4
"MANUEL GUIANGA (BRGY IS NOW UNDER PS 20, DCPO)",2020-01-01,IDENTITY THEFT,4
BARANGAY 13-B,2020-01-01,THEFT,3
SALAPAWAN,2020-01-01,IDENTITY THEFT,1
NEW VALENCIA,2020-01-01,DATA BREACH,2
BUDA,2020-01-01,DATA BREACH,1
"ANGALAN (BRGY IS NOW UNDER PS 20, DCPO)",2020-01-01,CYBER LIBEL,1
VICENTE HIZON SR.,2020-01-01,DISTURBANCE,2
DALIAO,2020-01-01,ONLINE SCAM,4
TAMUGAN,2020-01-01,ILLEGAL DRUGS,6
MATINA PANGI,2020-01-01,DATA BREACH,3
SALUMAY,2020-01-01,ILLEGAL GAMBLING,4
SALAYSAY,2020-01-01,DISTURBANCE,6
"BARANGAY 19-B (POB.) (BRGY UNDER ps 14, DCPO)",2020-01-01,DRUNK DRIVING,2
BUHANGIN (POB.),2020-01-01,ILLEGAL GAMBLING,7
EDEN,2020-01-01,THEFT,5
ILANG,2020-01-01,MURDER,7
"AGDAO PROPER (BRGY IS NOW UNDER PS 18, DCPO)",2020-01-01,RAPE,2
LIZADA,2020-01-01,MURDER,4
"BARANGAY 10-A (BRGY UNDER ps 14, DCPO)",2020-01-01,DISTURBANCE,6
PAQUIBATO (POB.),2020-01-01,CYBER LIBEL,2
MINTAL,2020-01-01,CYBER LIBEL,2
TIGATTO,2020-01-01,DISTURBANCE,2
RIVERSIDE,2020-01-01,COMPUTER FRAUD,2
BUNAWAN (POB.),2020-01-01,ILLEGAL GAMBLING,3
ULA,2020-01-01,ROBBERY,3
"MANUEL GUIANGA (BRGY IS NOW UNDER PS 20, DCPO)",2020-02-01,ROBBERY,3
MALABOG,2020-02-01,ILLEGAL DRUGS,2
BUHANGIN (POB.),2020-02-01,DRUNK DRIVING,6
TUNGKALAN,2020-02-01,CYBER LIBEL,2
"BAGO APLAYA (BRGY IS NOW UNDER PS 17, DCPO)",2020-02-01,DRUNK DRIVING,5
BINUGAO,2020-02-01,DISTURBANCE,4
"BALENGAENG (BRGY IS NOW UNDER PS 20, DCPO)",2020-02-01,HACKING,2
BAO JOAQUIN,2020-02-01,PHYSICAL INJURY,7
ULA,2020-02-01,ILLEGAL GAMBLING,2
BUNAWAN (POB.),2020-02-01,ILLEGAL GAMBLING,6
"TIBULOY (BRGY IS NOW UNDER PS 19, DCPO)",2020-02-01,DISTURBANCE,6
GUMITAN,2020-02-01,IDENTITY THEFT,2
NEW VALENCIA,2020-02-01,ILLEGAL DRUGS,3
"DUTERTE (BRGY IS NOW UNDER PS 18, DCPO)",2020-02-01,UNAUTHORIZED ACCESS,1
BARANGAY 37-D,2020-02-01,THREATS,7
SALAYSAY,2020-02-01,ILLEGAL GAMBLING,7
VICENTE HIZON SR.,2020-02-01,DRUNK DRIVING,3
